LexToken(DEF,'def',1,1)
LexToken(ID,'getFibonacci',1,5)
LexToken(LPAREN,'(',1,17)
LexToken(ID,'n',1,18)
LexToken(RPAREN,')',1,19)
LexToken(ID,'firstTerm',1,23)
LexToken(ASSIGN,'=',1,33)
LexToken(NUMBER,0,1,35)
LexToken(ID,'secondTerm',1,39)
LexToken(ASSIGN,'=',1,50)
LexToken(NUMBER,1,1,52)
LexToken(ID,'nextTerm',1,56)
LexToken(ASSIGN,'=',1,65)
LexToken(NUMBER,0,1,67)
LexToken(ID,'counter',1,71)
LexToken(ASSIGN,'=',1,79)
LexToken(NUMBER,1,1,81)
LexToken(ID,'result',1,85)
LexToken(ASSIGN,'=',1,92)
LexToken(LBRACKET,'[',1,94)
LexToken(RBRACKET,']',1,95)
LexToken(PUTS,'puts',1,99)
LexToken(STRING,'"The first #{n} terms of Fibonacci series are:-"',1,104)
LexToken(ID,'result',1,155)
LexToken(DOT,'.',1,161)
LexToken(ID,'push',1,162)
LexToken(LPAREN,'(',1,166)
LexToken(ID,'firstTerm',1,167)
LexToken(RPAREN,')',1,176)
LexToken(WHILE,'while',1,180)
LexToken(LPAREN,'(',1,185)
LexToken(ID,'counter',1,186)
LexToken(LESSOREQUAL,'<=',1,194)
LexToken(ID,'n',1,197)
LexToken(PLUS,'+',1,199)
LexToken(NUMBER,1,1,201)
LexToken(RPAREN,')',1,202)
LexToken(IF,'if',1,208)
LexToken(LPAREN,'(',1,210)
LexToken(ID,'counter',1,211)
LexToken(LESSOREQUAL,'<=',1,219)
LexToken(NUMBER,1,1,222)
LexToken(RPAREN,')',1,223)
LexToken(ID,'nextTerm',1,233)
LexToken(ASSIGN,'=',1,242)
LexToken(ID,'counter',1,244)
LexToken(ELSE,'else',1,256)
LexToken(ID,'result',1,269)
LexToken(DOT,'.',1,275)
LexToken(ID,'push',1,276)
LexToken(LPAREN,'(',1,280)
LexToken(ID,'nextTerm',1,281)
LexToken(RPAREN,')',1,289)
LexToken(ID,'nextTerm',1,299)
LexToken(ASSIGN,'=',1,308)
LexToken(ID,'firstTerm',1,310)
LexToken(PLUS,'+',1,320)
LexToken(ID,'secondTerm',1,322)
LexToken(ID,'firstTerm',1,341)
LexToken(ASSIGN,'=',1,351)
LexToken(ID,'secondTerm',1,353)
LexToken(ID,'secondTerm',1,372)
LexToken(ASSIGN,'=',1,383)
LexToken(ID,'nextTerm',1,385)
LexToken(END,'end',1,398)
LexToken(ID,'counter',1,406)
LexToken(PLUS,'+',1,414)
LexToken(ASSIGN,'=',1,415)
LexToken(NUMBER,1,1,417)
LexToken(END,'end',1,421)
LexToken(PUTS,'puts',1,430)
LexToken(ID,'result',1,435)
LexToken(DOT,'.',1,441)
LexToken(ID,'to_s',1,442)
LexToken(END,'end',1,447)
